videotime,mode,size,color,unixtime,pool,UID,rowID,content
654.034,1,25,16777215,1589978867,0,fc2a2616,32944524109545479,杜鲁门是那个时代被低估最严重的人之一
469.731,1,25,16777215,1589978180,0,a9081cc4,32944163435577351,大萧条饿死了700万人你还说家家有肉吃？
605.279,1,25,16777215,1589976902,0,bd1d3f30,32943493874188295,其实苏联红军打败德军（在斯大林格勒保卫战），那些新兵都是强迫上战场的，。见使命召唤2：决战时刻的苏联战役
730.467,1,25,16777215,1589975730,0,5d8cb7fb,32942879028543493,精彩！
575.642,1,25,16777215,1589973201,0,2bdd0e6b,32941553216913413,同志们好
668.406,5,25,16777215,1589972101,0,de9292bd,32940976435101699,世界差点变色
478.465,5,25,16777215,1589971896,0,de9292bd,32940869074026499,米 国 大 皇 帝
433.313,5,25,16777215,1589971823,0,de9292bd,32940830679891973,好时代，来临了！
569.686,5,25,15138834,1589971721,0,341ee1fe,32940777225584647,斯大林
489.019,1,25,15138834,1589971634,0,341ee1fe,32940731637694469,美国张居正
239.91,1,25,16777215,1589971612,0,de9292bd,32940720400629767,杜鲁门：老铁们我这样做对吗
206.847,1,25,16777215,1589971568,0,de9292bd,32940697065619461,直接变色
133.306,1,25,16777215,1589970273,0,d985c110,32940018297733125,不错
119.564,1,25,16777215,1589970260,0,d985c110,32940011104501767,fehf
621.133,1,25,16777215,1589967856,0,8a712fa7,32938751107792903,罗斯福和斯大林在会议对线了多次
223.149,5,25,15138834,1589967840,0,12f4a550,32938742367911939,红色主义
477.949,1,25,16777215,1589967080,0,69f11281,32938343959887877,我是中国人
593.89,1,25,15138834,1589959327,0,474cac91,32934279454392323,ahhhhh
167.927,1,25,16777215,1589959181,0,fa0bfcf3,32934202752106501,纸牌屋
436.138,1,25,16777215,1589959169,0,474cac91,32934196639432707,文科生的我看懂了
32.739,1,25,15138834,1589958200,0,5fa5a171,32933688214290435,未曾设想的道路
162.138,1,25,16777215,1589953864,0,76590dde,32931415208755203,皇上，美贵妃驾崩了
406.759,1,25,16777215,1589953140,0,e9ee5319,32931035583348739,哌拉西林
58.527,1,25,16777215,1589948538,0,360a8396,32928622608121861,鲁迅说什么都是我说
330.551,1,25,16777215,1589948214,0,35501e23,32928452903436291,这期建议配合官网最新一期漂亮国权力解读食用
596.661,1,25,16777215,1589945196,0,de868426,32926870612738053,天下何人不通共
667.445,1,25,16777215,1589938652,0,b63e970,32923439793176583,死的好啊
728.899,1,25,16777215,1589937937,0,9f2eba80,32923064513069063,我天，莫名跪下
514.021,5,25,16707842,1589934553,0,480866fe,32921290527473669,得得得，大学士们又开始探讨历史了
361.077,1,25,16777215,1589912714,0,428b747,32909840481255427,进度条不简单
11.497,1,25,16777215,1589904625,0,9823d412,32905599885246471,“战士死了的时候，苍蝇所首先发见的是他的缺点和伤痕，嘬着，营营地叫，以为得意，以为比死了的战士更英雄。但是战士已经死了，不再来挥去它们。于是乎苍蝇们即更其营营地叫，自以为倒是不朽的声音，因为它们的完全
10.526,1,25,16777215,1589900982,0,4d9e97cb,32903689510322183,罗斯福1933年上任演说
464.318,1,25,16777215,1589900158,0,19c933d0,32903257533186051,bgm：unicorn
511.939,1,25,16777215,1589898028,0,4ced9e47,32902140763045895,轮椅上的骑士
564.219,1,25,16777215,1589897043,0,482a3793,32901624435834883,马 克 思
217.959,1,25,16777215,1589896682,0,482a3793,32901435073495047,以工代赈有问题吗？？
125.399,1,25,16777215,1589896563,0,482a3793,32901372850995205,刷罗斯福的也就这点水平了，1946都过了十多年了好吗
687.699,1,25,16777215,1589894892,0,ed1c6e78,32900496677666823,伟大的领导者
549.19,1,25,16777215,1589888418,0,fe40a4ef,32897102767456259,不好意思 我叫罗凯
595.993,1,25,16777215,1589886563,0,285bd346,32896130213216261,乌拉
18.314,1,25,16777215,1589882553,0,d3fcac86,32894027647942663,天下何人不通共
324.839,1,25,16777215,1589875519,0,470e1400,32890339470606343,权利过于集中了
730.937,1,25,16777215,1589872669,0,ff8ed870,32888845587447813,优秀
732.217,1,25,16777215,1589869802,0,5a29fc33,32887342560706563,牛逼
575.199,1,25,16777215,1589869442,0,4a9a0323,32887153368760325,气突苏
456.839,1,25,16777215,1589869311,0,4a9a0323,32887084842745861,快了
409.199,1,25,16777215,1589869257,0,4a9a0323,32887056549543939,通共石锤？
665.701,1,25,16777215,1589867356,0,a63da881,32886059912134659,创业未半而中道崩殂，这句话在合适不过了
633.245,1,25,16777215,1589863541,0,5e46fb3c,32884059629158405,全体起立！
670.205,1,25,16646914,1589863166,0,49dc0e68,32883863041081349,罗斯福同志
589.031,1,25,16646914,1589863085,0,49dc0e68,32883820511363079,乌拉
574.947,1,25,16646914,1589863070,0,49dc0e68,32883813126766599,ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
421.135,1,25,16646914,1589862917,0,49dc0e68,32883732462436357,罗斯福
224.237,1,25,16646914,1589862720,0,49dc0e68,32883629304053767,自动变色
25.75,1,25,16646914,1589862521,0,49dc0e68,32883525175214083,未曾设想的道路
622.618,1,25,16777215,1589859094,0,93712cd6,32881728257261575,成也计划，败也计划
368.618,1,25,16777215,1589858840,0,93712cd6,32881595005272067,幸亏没通过
728.137,1,25,16777215,1589858272,0,b08dd17f,32881297518493701,牛逼
